id,name,age,nationality,overall,club
20801,Cristiano Ronaldo,32,Portugal,94,Real Madrid CF
158023,L. Messi,30,Argentina,93,FC Barcelona
190871,Neymar,25,Brazil,92,Paris Saint-Germain
176580,L. Suárez,30,Uruguay,92,FC Barcelona
167495,M. Neuer,31,Germany,92,FC Bayern Munich
188545,R. Lewandowski,28,Poland,91,FC Bayern Munich
193080,De Gea,26,Spain,90,Manchester United
183277,E. Hazard,26,Belgium,90,Chelsea
182521,T. Kroos,27,Germany,90,Real Madrid CF
167664,G. Higuaín,29,Argentina,90,Juventus
155862,Sergio Ramos,31,Spain,90,Real Madrid CF
192985,K. De Bruyne,26,Belgium,89,Manchester City
192119,T. Courtois,25,Belgium,89,Chelsea
184941,A. Sánchez,28,Chile,89,Arsenal
177003,L. Modrić,31,Croatia,89,Real Madrid CF
173731,G. Bale,27,Wales,89,Real Madrid CF
153079,S. Agüero,29,Argentina,89,Manchester City
138956,G. Chiellini,32,Italy,89,Juventus
1179,G. Buffon,39,Italy,89,Juventus
211110,P. Dybala,23,Argentina,88,Juventus
200389,J. Oblak,24,Slovenia,88,Atlético Madrid
194765,A. Griezmann,26,France,88,Atlético Madrid
189509,Thiago,26,Spain,88,FC Bayern Munich
188567,P. Aubameyang,28,Gabon,88,Borussia Dortmund
184344,L. Bonucci,30,Italy,88,Milan
183907,J. Boateng,28,Germany,88,FC Bayern Munich
182493,D. Godín,31,Uruguay,88,Atlético Madrid
178603,M. Hummels,28,Germany,88,FC Bayern Munich
176635,M. Özil,28,Germany,88,Arsenal
167948,H. Lloris,30,France,88,Tottenham Hotspur
164240,Thiago Silva,32,Brazil,88,Paris Saint-Germain
41236,Z. Ibrahimović,35,Sweden,88,Manchester United
9014,A. Robben,33,Netherlands,88,FC Bayern Munich
215914,N. Kanté,26,France,87,Chelsea
199556,M. Verratti,24,Italy,87,Paris Saint-Germain
195864,P. Pogba,24,France,87,Manchester United
190460,C. Eriksen,25,Denmark,87,Tottenham Hotspur
181872,A. Vidal,30,Chile,87,FC Bayern Munich
179813,E. Cavani,30,Uruguay,87,Paris Saint-Germain
176676,Marcelo,29,Brazil,87,Real Madrid CF
171877,M. Hamšík,29,Slovakia,87,Napoli
168651,I. Rakitić,29,Croatia,87,FC Barcelona
168542,David Silva,31,Spain,87,Manchester City
162835,S. Handanovič,32,Slovenia,87,Inter
152729,Piqué,30,Spain,87,FC Barcelona
