"","name","id"
"1","Cristiano Ronaldo",20801
"2","L. Messi",158023
"3","Neymar",190871
"4","L. Suárez",176580
"5","M. Neuer",167495
"6","R. Lewandowski",188545
"7","De Gea",193080
"8","E. Hazard",183277
"9","T. Kroos",182521
"10","G. Higuaín",167664
"11","Sergio Ramos",155862
"12","K. De Bruyne",192985
"13","T. Courtois",192119
"14","A. Sánchez",184941
"15","L. Modrić",177003
"16","G. Bale",173731
"17","S. Agüero",153079
"18","G. Chiellini",138956
"19","G. Buffon",1179
"20","P. Dybala",211110
"21","J. Oblak",200389
"22","A. Griezmann",194765
"23","Thiago",189509
"24","P. Aubameyang",188567
"25","L. Bonucci",184344
"26","J. Boateng",183907
"27","D. Godín",182493
"28","M. Hummels",178603
"29","M. Özil",176635
"30","H. Lloris",167948
"31","Thiago Silva",164240
"32","Z. Ibrahimović",41236
"33","A. Robben",9014
"34","N. Kanté",215914
"35","M. Verratti",199556
"36","P. Pogba",195864
"37","C. Eriksen",190460
"38","A. Vidal",181872
"39","E. Cavani",179813
"40","Marcelo",176676
"41","M. Hamšík",171877
"42","I. Rakitić",168651
"43","David Silva",168542
"44","S. Handanovič",162835
"45","Piqué",152729
"46","Iniesta",41
"47","H. Kane",202126
"48","J. Rodríguez",198710
"49","Isco",197781
"50","D. Alaba",197445
"51","R. Lukaku",192505
"52","Alex Sandro",191043
"53","T. Müller",189596
"54","Sergio Busquets",189511
"55","Coutinho",189242
"56","M. Reus",188350
"57","T. Alderweireld",184087
"58","David Luiz",179944
"59","Diego Costa",179844
"60","R. Nainggolan",178518
"61","Javi Martínez",177610
"62","D. Mertens",175943
"63","Sokratis",172879
"64","Miranda",168609
"65","K. Benzema",165153
"66","Cesc Fàbregas",162895
"67","F. Ribéry",156616
"68","Pepe",120533
"69","P. Čech",48940
"70","Y. Carrasco",208418
"71","R. Varane",201535
"72","Casemiro",200145
"73","L. Insigne",198219
"74","A. Lacazette",193301
"75","K. Navas",193041
"76","H. Mkhitaryan",192883
"77","D. Subašić",192593
"78","B. Leno",192563
"79","M. ter Stegen",192448
"80","K. Glik",190547
"81","Jordi Alba",189332
"82","I. Gündoğan",186942
"83","Azpilicueta",184432
"84","A. Di María",183898
"85","M. Pjanić",180206
"86","C. Marchisio",173210
"87","J. Vertonghen",172871
"88","B. Matuidi",170890
"89","S. Ruffier",167628
"90","Filipe Luís",164169
"91","V. Kompany",139720
"92","A. Barzagli",137186
"93","E. Bailly",225508
"94","Marco Asensio",220834
"95","Bernardo Silva",218667
"96","A. Laporte",212218
"97","D. Alli",211117
"98","S. Mané",208722
"99","Carvajal",204963
"100","J. Draxler",202166
"101","M. Icardi",201399
"102","Morata",201153
"103","K. Koulibaly",201024
"104","T. Horn",200316
"105","Koke",193747
"106","K. Manolas",192774
"107","S. Mustafi",192227
"108","Ander Herrera",191740
"109","K. Strootman",189712
"110","Pedro",189505
